1481 [main] INFO  com.mock.server.Application - Starting Application on sparrow with PID 1602 (/home/shubham/IdeaProjects/Mock Server/target/classes started by shubham in /home/shubham/IdeaProjects/Mock Server) 
1483 [main] INFO  com.mock.server.Application - No active profile set, falling back to default profiles: default 
2430 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http) 
2437 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
2437 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
2437 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35] 
2528 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
2528 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1005 ms 
2532 [main] INFO  com.mock.server.ServiceFactory - LOADING OLD DATA... 
2532 [main] INFO  com.mock.server.ServiceFactory - LOADED 0 OPERATIONS SUCCESSFULLY! 
2534 [main] INFO  com.mock.server.ServiceFactory - TOTAL TIME TAKEN: 0 ms 
2705 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor' 
2885 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
2909 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '' 
2921 [main] INFO  com.mock.server.Application - Started Application in 2.037 seconds (JVM running for 4.593) 
3007 [main] INFO  com.mock.server.ServiceFactory - Key generated for team: Test1 = efd1105dacdfa5c0 
3593 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 499865228 119226625 863530927 592998052 1202289328 
3596 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 920862659 779548299 808349171 449029592 95664558 
3598 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 828808443 991337464 187789440 76583511 1035992380 
3601 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 653115121 811170553 796048096 931401697 687745896 
3603 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 753481165 443067179 512173404 606865003 1203881457 
3606 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 164257730 215843870 1224829599 127464359 403278600 
3608 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 453312063 777602916 279211894 1053182904 1211623242 
3611 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 975302970 1090567996 226560139 303774114 237410004 
3613 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 1043080436 887746085 592679154 795768880 711801495 
3616 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 832123253 518973655 307503736 241718895 833684384 
3618 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 105433523 1185463220 345952794 441908971 804236517 
3621 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 463481172 244135853 24179817 834073586 401312653 
3623 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 470320708 913666976 834294290 307164333 1079375669 
3627 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 126897553 212925136 167965177 578665398 614969502 
3632 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 413085576 1081414296 1231756877 442659773 1156878220 
3634 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 280171165 1166008778 1108118990 1061978547 1000298946 
3637 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 41857410 403072224 807732939 535890379 601991195 
3639 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 455578513 1177962819 646868659 119553707 597646680 
3642 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 125942729 823136031 377889833 1207792993 744422109 
3645 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 664837592 1154328638 31990255 554316049 120255398 
3648 [main] INFO  com.mock.server.Server.Verifier - Path List:  GET 449240096 724361068 987028422 787495283 1129629008 
